Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90,Team_Success_xG_On-Off,Matches
1,Patrick van Aanholt,nl NED,"MF,DF",nl PSV Eindhoven,32,1990,2,99,50,13.8,1.1,1,90,1,1,9,6,2.50,2,1,+1,+0.91,+1.63,2.3,1.1,+1.2,+1.10,+1.27,Matches
2,Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,6,137,23,25.4,1.5,1,69,0,5,14,0,0.33,1,4,-3,-1.97,-1.75,1.5,3.1,-1.6,-1.04,-0.08,Matches
3,Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,6,495,83,91.7,5.5,6,83,5,0,,0,1.33,6,10,-4,-0.73,+1.27,6.0,6.3,-0.3,-0.05,+2.10,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,35,1988,6,423,71,56.4,4.7,4,90,4,2,32,1,1.50,6,4,+2,+0.43,+0.15,11.0,4.8,+6.2,+1.42,+1.08,Matches
5,Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,8,552,69,76.7,6.1,7,74,0,1,31,0,1.31,8,9,-1,-0.16,+1.44,6.0,10.1,-4.1,-0.66,-0.86,Matches
6,Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,3,198,66,36.7,2.2,2,90,2,1,18,0,0.33,4,7,-3,-1.36,-0.84,2.9,5.3,-2.4,-1.09,-0.44,Matches
7,Karim Adeyemi,de GER,FW,de Dortmund,21,2002,12,707,59,60.4,7.9,8,74,1,4,28,0,1.92,10,7,+3,+0.38,-0.20,10.3,13.8,-3.5,-0.44,+0.12,Matches
8,Yacine Adli,fr FRA,MF,it Milan,23,2000,3,123,41,22.8,1.4,1,76,0,2,24,3,0.33,1,4,-3,-2.20,-2.20,2.1,2.1,-0.1,-0.04,-0.46,Matches
9,Ruben Aguilar,fr FRA,DF,fr Lens,30,1993,2,100,50,18.5,1.1,1,90,1,1,10,3,3.00,2,1,+1,+0.90,+2.13,1.4,1.8,-0.3,-0.30,-0.09,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,8,665,83,71.5,7.4,7,90,5,1,33,2,2.50,19,11,+8,+1.08,-1.29,13.9,6.1,+7.8,+1.05,-2.33,Matches
11,Nathan Aké,nl NED,"DF,MF",eng Manchester City,28,1995,7,384,55,41.3,4.3,3,90,3,4,29,2,3.00,15,4,+11,+2.58,+1.92,14.5,1.7,+12.9,+3.02,+2.22,Matches
12,Kerem Aktürkoğlu,tr TUR,"MF,FW",tr Galatasaray,24,1998,6,440,73,81.5,4.9,5,82,3,1,31,0,1.75,7,9,-2,-0.41,+0.49,8.6,8.6,0.0,-0.01,+0.33,Matches
13,David Alaba,at AUT,DF,es Real Madrid,31,1992,3,250,83,20.8,2.8,3,83,2,0,,3,3.00,6,3,+3,+1.08,+0.13,9.1,2.5,+6.6,+2.37,+2.28,Matches
14,Ángel Alarcón,es ESP,FW,es Barcelona,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
15,Luis Alberto,es ESP,MF,it Lazio,30,1992,8,642,80,89.2,7.1,8,80,3,0,,0,1.63,6,10,-4,-0.56,-2.87,9.4,10.5,-1.1,-0.16,-0.20,Matches
16,Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5,450,90,83.3,5.0,5,90,5,0,,0,1.29,6,15,-9,-1.80,+0.20,5.6,8.9,-3.2,-0.65,+0.97,Matches
17,Rúnar Alex Rúnarsson,is ISL,GK,dk FC Copenhagen,28,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
18,Mohamed Ali Cho,fr FRA,"FW,MF",es Real Sociedad,19,2004,4,131,33,18.2,1.5,1,73,0,3,19,1,2.00,0,1,-1,-0.69,-1.15,1.1,1.6,-0.5,-0.34,-1.01,Matches
19,Max Alleyne,eng ENG,DF,eng Manchester City,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
20,Miguel Almirón,py PAR,FW,eng Newcastle Utd,29,1994,6,413,69,76.5,4.6,4,85,3,2,37,0,0.83,5,6,-1,-0.22,-0.22,5.4,10.1,-4.7,-1.02,+0.22,Matches
21,Marcos Alonso,es ESP,"DF,FW",es Barcelona,32,1990,3,139,46,15.4,1.5,2,64,0,1,11,4,2.00,2,2,0,0.00,-0.71,2.3,1.1,+1.2,+0.79,+0.27,Matches
22,Barış Alper Yılmaz,tr TUR,"FW,MF",tr Galatasaray,23,2000,6,127,21,23.5,1.4,0,,0,6,21,0,1.75,5,4,+1,+0.71,+1.58,3.6,2.9,+0.6,+0.45,+0.68,Matches
23,Julián Álvarez,ar ARG,"MF,FW",eng Manchester City,23,2000,7,282,40,30.3,3.1,2,90,2,5,20,3,2.43,12,2,+10,+3.19,+2.50,7.4,2.5,+4.9,+1.75,+0.04,Matches
24,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5,450,90,83.3,5.0,5,90,5,0,,1,1.14,6,11,-5,-1.00,0.00,4.8,14.5,-9.7,-1.94,-2.74,Matches
25,Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,4,314,79,58.1,3.5,3,90,3,1,44,2,0.25,4,9,-5,-1.43,-1.03,4.1,8.1,-4.0,-1.14,+0.83,Matches
26,Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,5,325,65,60.2,3.6,4,70,1,1,45,0,0.80,6,7,-1,-0.28,+0.56,4.8,6.5,-1.7,-0.46,-0.78,Matches
27,Elliot Anderson,eng ENG,MF,eng Newcastle Utd,20,2002,2,45,23,8.3,0.5,0,,0,2,23,0,2.00,1,0,+1,+2.00,+2.36,0.3,0.6,-0.3,-0.68,+0.43,Matches
28,Felipe Anderson,br BRA,FW,it Lazio,30,1993,8,542,68,75.3,6.0,7,73,2,1,33,0,1.63,3,7,-4,-0.66,-1.68,6.4,8.9,-2.5,-0.41,-1.09,Matches
29,Angeliño,es ESP,DF,tr Galatasaray,26,1997,6,424,71,78.5,4.7,5,82,1,1,16,0,1.64,8,9,-1,-0.21,+1.34,5.9,7.7,-1.8,-0.39,-1.49,Matches
30,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32,1990,7,465,66,64.6,5.2,5,86,4,2,18,1,1.38,5,11,-6,-1.16,-1.87,7.1,7.9,-0.7,-0.14,+0.90,Matches
