Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
1,Dani Abalo,es ESP,"FW,MF",bg Ludogorets,26,1987,6,434,72,80.4,4.8,5,,3,1,,0,1.20,3,14,-11,-2.28,-7.38,Matches
2,Aymen Abdennour,tn TUN,DF,fr Monaco,24,1989,6,540,90,60.0,6.0,6,,6,0,,1,1.67,6,4,+2,+0.33,+0.33,Matches
3,Anicet Abel,mg MAD,"FW,MF",bg Ludogorets,24,1990,4,151,38,28.0,1.7,1,,1,3,,2,0.63,1,5,-4,-2.38,-2.15,Matches
4,Éric Abidal,fr FRA,DF,gr Olympiacos,34,1979,6,540,90,100.0,6.0,6,,6,0,,0,1.50,10,13,-3,-0.50,,Matches
5,Vincent Aboubakar,cm CMR,FW,pt Porto,22,1992,4,271,68,30.1,3.0,3,,2,1,,6,2.00,6,2,+4,+1.33,-0.39,Matches
6,Frank Acheampong,gh GHA,"DF,FW",be Anderlecht,20,1993,6,467,78,86.5,5.2,5,,5,1,,0,1.00,8,8,0,0.00,+2.47,Matches
7,Olcan Adın,tr TUR,MF,tr Galatasaray,28,1985,1,13,13,2.4,0.1,0,,0,1,,4,0.00,1,1,0,0.00,+2.56,Matches
8,Adriano,br BRA,"DF,MF",es Barcelona,29,1984,7,150,21,12.8,1.7,1,,1,6,,5,3.00,2,1,+1,+0.60,-1.08,Matches
9,Luiz Adriano,br BRA,"FW,MF",ua Shakhtar,27,1987,7,628,90,87.2,7.0,7,,5,0,,0,1.29,14,10,+4,+0.57,+0.57,Matches
10,Aritz Aduriz,es ESP,FW,es Athletic Club,33,1981,5,250,50,46.3,2.8,3,,1,2,,0,1.57,3,3,0,0.00,-0.31,Matches
11,Ibrahim Afellay,nl NED,"FW,MF",gr Olympiacos,28,1986,6,318,53,58.9,3.5,4,,0,2,,0,1.50,6,8,-2,-0.57,-0.16,Matches
12,Sergio Agüero,ar ARG,FW,eng Manchester City,26,1988,7,550,79,76.4,6.1,6,,4,1,,0,0.71,7,11,-4,-0.65,-2.24,Matches
13,Arlind Ajeti,al ALB,DF,ch Basel,20,1993,1,15,15,2.1,0.2,0,,0,1,,2,0.00,0,1,-1,-6.00,-5.49,Matches
14,Nathan Aké,nl NED,"DF,MF",eng Chelsea,19,1995,1,30,30,4.0,0.3,0,,0,1,,0,3.00,2,0,+2,+6.00,+4.50,Matches
15,Ager Aketxe,es ESP,MF,es Athletic Club,20,1993,1,15,15,2.8,0.2,0,,0,1,,0,1.00,0,0,0,0.00,-0.17,Matches
16,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,28,1986,6,540,90,100.0,6.0,6,,6,0,,0,0.83,6,13,-7,-1.17,,Matches
17,Chuba Akpom,eng ENG,"FW,MF",eng Arsenal,18,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
18,David Alaba,at AUT,"DF,MF",de Bayern Munich,22,1992,6,531,89,49.2,5.9,6,,5,0,,0,2.67,18,1,+17,+2.88,+2.39,Matches
19,Jordi Alba,es ESP,"DF,MF",es Barcelona,25,1989,11,962,87,82.2,10.7,11,,10,0,,1,2.45,26,10,+16,+1.50,-0.23,Matches
20,Thiago Alcántara,es ESP,MF,de Bayern Munich,23,1991,4,360,90,33.3,4.0,4,,3,0,,0,1.50,10,9,+1,+0.25,-2.12,Matches
21,Aleksandar Aleksandrov,bg BUL,DF,bg Ludogorets,28,1986,3,249,83,46.1,2.8,2,,2,1,,3,0.40,2,8,-6,-2.17,-2.48,Matches
22,Mihail Aleksandrov,bg BUL,MF,bg Ludogorets,25,1989,6,476,79,88.1,5.3,6,,2,0,,0,0.91,3,12,-9,-1.70,-7.33,Matches
23,Illya Aleksiyevich,by BLR,"FW,MF",by BATE Borisov,23,1991,3,152,51,28.1,1.7,1,,1,2,,3,0.71,0,8,-8,-4.74,-2.42,Matches
24,Nektarios Alexandrou,cy CYP,"DF,FW",cy APOEL FC,30,1983,1,90,90,16.7,1.0,1,,1,0,,4,0.50,0,4,-4,-4.00,-3.80,Matches
25,Naser Aliji,al ALB,"DF,MF",ch Basel,20,1993,1,75,75,10.4,0.8,1,,0,0,,1,0.00,0,0,0,0.00,+0.70,Matches
26,Joe Allen,wls WAL,MF,eng Liverpool,24,1990,4,360,90,66.7,4.0,4,,4,0,,0,0.50,3,7,-4,-1.00,-1.00,Matches
27,André Almeida,pt POR,"DF,MF",pt Benfica,23,1990,6,466,78,86.3,5.2,5,,5,1,,0,0.83,2,4,-2,-0.39,+2.05,Matches
28,Stathis Aloneftis,cy CYP,"FW,MF",cy APOEL FC,31,1983,5,277,55,51.3,3.1,3,,2,2,,0,0.67,1,5,-4,-1.30,-0.96,Matches
29,Xabi Alonso,es ESP,MF,de Bayern Munich,32,1981,10,841,84,77.9,9.3,10,,7,0,,1,1.90,23,13,+10,+1.07,-2.70,Matches
30,Hamit Altıntop,tr TUR,"DF,MF",tr Galatasaray,31,1982,5,322,64,59.6,3.6,3,,0,2,,0,0.00,3,10,-7,-1.96,+1.35,Matches
31,Dani Alves,br BRA,"DF,MF",es Barcelona,31,1983,11,961,87,82.1,10.7,11,,7,0,,0,2.45,25,9,+16,+1.50,-0.22,Matches
32,Edhar Alyakhnovich,by BLR,MF,by BATE Borisov,27,1987,5,286,57,53.0,3.2,3,,2,2,,1,1.10,0,14,-14,-4.41,-2.99,Matches
33,Mustafa Amini,au AUS,MF,de Dortmund,21,1993,0,,,,,0,,0,0,,2,,,,,,,Matches
34,Lucas Andersen,dk DEN,"FW,MF",nl Ajax,19,1994,6,484,81,89.6,5.4,6,,3,0,,0,0.83,7,9,-2,-0.37,-0.37,Matches
35,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,30,1984,7,563,80,60.5,6.3,7,,6,0,,3,2.29,12,1,+11,+1.76,+2.00,Matches
36,Brayan Angulo,co COL,"DF,MF",bg Ludogorets,24,1989,1,90,90,16.7,1.0,1,,1,0,,3,0.67,0,4,-4,-4.00,-3.80,Matches
37,Cristian Ansaldi,ar ARG,"DF,MF",es Atlético Madrid,27,1986,3,270,90,29.0,3.0,3,,3,0,,1,2.00,7,3,+4,+1.33,+0.52,Matches
38,Marios Antoniades,cy CYP,DF,cy APOEL FC,24,1990,5,401,80,74.3,4.5,5,,4,0,,0,1.00,1,10,-9,-2.02,-4.61,Matches
39,Aleksandr Anyukov,ru RUS,DF,ru Zenit,31,1982,5,402,80,74.4,4.5,4,,3,1,,1,1.43,2,4,-2,-0.45,-4.36,Matches
40,Dennis Aogo,de GER,"DF,MF",de Schalke 04,27,1987,7,630,90,87.5,7.0,7,,7,0,,0,1.14,9,16,-7,-1.00,-2.00,Matches
41,Álvaro Arbeloa,es ESP,DF,es Real Madrid,31,1983,9,539,60,49.9,6.0,6,,4,3,,3,2.44,14,4,+10,+1.67,+0.84,Matches
42,Arghus,br BRA,DF,si NK Maribor,26,1988,4,360,90,66.7,4.0,4,,4,0,,2,0.50,3,6,-3,-0.75,+0.25,Matches
43,John Arne Riise,no NOR,"DF,MF",cy APOEL FC,33,1980,1,49,49,9.1,0.5,0,,0,1,,1,0.00,0,1,-1,-1.84,-1.10,Matches
44,Helton Arruda,br BRA,GK,pt Porto,36,1978,0,,,,,0,,0,0,,4,,,,,,,Matches
45,Andrey Arshavin,ru RUS,"FW,MF",ru Zenit,33,1981,3,10,3,1.9,0.1,0,,0,3,,3,1.75,1,0,+1,+9.00,+8.49,Matches
46,Mikel Arteta,es ESP,MF,eng Arsenal,32,1982,3,206,69,28.6,2.3,3,,0,0,,1,1.25,5,3,+2,+0.87,-0.18,Matches
47,Kostakis Artymatas,cy CYP,MF,cy APOEL FC,21,1993,1,18,18,3.3,0.2,0,,0,1,,2,0.00,0,1,-1,-5.00,-4.31,Matches
48,Kwadwo Asamoah,gh GHA,"DF,MF",it Juventus,25,1988,3,263,88,22.5,2.9,3,,2,0,,1,2.00,5,3,+2,+0.68,+0.19,Matches
49,Davide Astori,it ITA,DF,it Roma,27,1987,2,180,90,33.3,2.0,2,,2,0,,2,2.00,6,2,+4,+2.00,+4.50,Matches
50,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",de Dortmund,25,1989,8,616,77,85.6,6.8,7,,6,1,,0,1.63,14,9,+5,+0.73,-0.13,Matches
51,Jean-Kévin Augustin,fr FRA,FW,fr Paris S-G,17,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
52,Serge Aurier,ci CIV,"DF,MF",fr Paris S-G,21,1992,0,,,,,0,,0,0,,4,,,,,,,Matches
53,Jon Aurtenetxe,es ESP,DF,es Athletic Club,22,1992,0,,,,,0,,0,0,,2,,,,,,,Matches
54,Donis Avdijaj,xk KVX,"FW,MF",de Schalke 04,17,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
55,Tasos Avlonitis,gr GRE,DF,gr Olympiacos,24,1990,0,,,,,0,,0,0,,6,,,,,,,Matches
56,Kaan Ayhan,tr TUR,"DF,MF",de Schalke 04,19,1994,4,228,57,31.7,2.5,3,,2,1,,3,2.00,5,5,0,0.00,+1.10,Matches
57,Márcio Azevedo,br BRA,DF,ua Shakhtar,28,1986,2,180,90,25.0,2.0,2,,2,0,,2,1.00,2,2,0,0.00,-0.67,Matches
58,Zlatan Azinović,se SWE,GK,se Malmö,26,1988,0,,,,,0,,0,0,,6,,,,,,,Matches
59,Abdou Aziz Thiam,fr FRA,MF,fr Monaco,17,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
60,César Azpilicueta,es ESP,"DF,MF",eng Chelsea,24,1989,4,390,98,52.0,4.3,4,,4,0,,4,2.00,11,4,+7,+1.62,-0.13,Matches
61,Holger Badstuber,de GER,DF,de Bayern Munich,25,1989,4,193,48,17.9,2.1,2,,1,2,,0,1.75,11,1,+10,+4.66,+3.65,Matches
62,Dzmitry Baha,by BLR,MF,by BATE Borisov,24,1990,3,51,17,9.4,0.6,0,,0,3,,2,0.00,0,3,-3,-5.29,-2.53,Matches
63,Jean-Christophe Bahebeck,fr FRA,"FW,MF",fr Paris S-G,21,1993,3,32,11,3.4,0.4,0,,0,3,,5,3.00,1,0,+1,+2.81,+3.01,Matches
64,Tiemoué Bakayoko,fr FRA,MF,fr Monaco,19,1994,3,180,60,20.0,2.0,2,,2,1,,3,2.33,3,0,+3,+1.50,+1.62,Matches
65,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,25,1989,10,827,83,76.6,9.2,9,,7,1,,0,2.00,18,9,+9,+0.98,-1.15,Matches
66,Mikel Balenziaga,es ESP,DF,es Athletic Club,26,1988,6,540,90,100.0,6.0,6,,6,0,,0,1.38,5,6,-1,-0.17,,Matches
67,Mario Balotelli,it ITA,FW,eng Liverpool,23,1990,3,226,75,41.9,2.5,3,,2,0,,1,1.00,2,5,-3,-1.19,-0.91,Matches
68,Hakan Balta,tr TUR,DF,tr Galatasaray,31,1983,2,180,90,33.3,2.0,2,,2,0,,3,0.00,2,8,-6,-3.00,-0.75,Matches
69,Jannik Bandowski,de GER,"DF,MF",de Dortmund,20,1994,0,,,,,0,,0,0,,1,,,,,,,Matches
70,Tranquillo Barnetta,ch SUI,MF,de Schalke 04,29,1985,4,239,60,33.2,2.7,3,,1,1,,4,2.00,4,4,0,0.00,+1.12,Matches
71,Alexandre Barthe,fr FRA,DF,bg Ludogorets,28,1986,0,,,,,0,,0,0,,1,,,,,,,Matches
72,Marc Bartra,es ESP,DF,es Barcelona,23,1991,6,451,75,38.5,5.0,5,,4,1,,5,3.00,14,2,+12,+2.39,+1.39,Matches
73,Andrea Barzagli,it ITA,DF,it Juventus,33,1981,6,296,49,25.3,3.3,2,,2,4,,0,1.83,3,3,0,0.00,-0.72,Matches
74,Konstantin Bazelyuk,ru RUS,FW,ru CSKA Moscow,21,1993,0,,,,,0,,0,0,,4,,,,,,,Matches
75,Riechedly Bazoer,nl NED,"DF,MF",nl Ajax,17,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
76,Bebé,cv CPV,"FW,MF",pt Benfica,24,1990,3,109,36,20.2,1.2,1,,0,2,,0,1.00,0,0,0,0.00,+0.84,Matches
77,Mitchell Beeney,eng ENG,GK,eng Chelsea,18,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
78,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,24,1990,8,712,89,94.9,7.9,8,,5,0,,0,1.90,8,5,+3,+0.38,-11.46,Matches
79,Héctor Bellerín,es ESP,"DF,MF",eng Arsenal,19,1995,4,360,90,50.0,4.0,4,,4,0,,4,1.50,7,6,+1,+0.25,-1.50,Matches
80,Medhi Benatia,ma MAR,DF,de Bayern Munich,27,1987,7,555,79,51.4,6.2,7,,5,0,,1,2.14,13,6,+7,+1.14,-1.09,Matches
81,Lars Bender,de GER,"DF,MF",de Leverkusen,25,1989,7,586,84,78.1,6.5,7,,2,0,,0,1.71,8,5,+3,+0.46,-2.28,Matches
82,Sven Bender,de GER,"DF,MF",de Dortmund,25,1989,6,465,78,64.6,5.2,6,,2,0,,1,2.00,12,4,+8,+1.55,+2.25,Matches
83,Jorge Benítez,py PAR,FW,gr Olympiacos,21,1992,1,2,2,0.4,0.0,0,,0,1,,0,3.00,1,0,+1,+45.00,+45.67,Matches
84,Loris Benito,ch SUI,DF,pt Benfica,22,1992,1,90,90,16.7,1.0,1,,1,0,,2,1.00,0,0,0,0.00,+0.80,Matches
85,Karim Benzema,fr FRA,FW,es Real Madrid,26,1987,9,664,74,61.5,7.4,8,,2,1,,1,2.22,16,6,+10,+1.36,+0.27,Matches
86,Dimitar Berbatov,bg BUL,FW,fr Monaco,33,1981,9,531,59,59.0,5.9,7,,1,2,,0,1.67,4,1,+3,+0.51,+0.75,Matches
87,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,32,1982,2,136,68,25.2,1.5,2,,6,0,,0,0.83,6,13,-7,-4.63,-4.63,Matches
88,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,32,1982,6,540,90,100.0,6.0,6,,1,0,,2,0.50,0,3,-3,-0.50,,Matches
89,Erik Berg,se SWE,"DF,MF",se Malmö,25,1988,5,423,85,78.3,4.7,5,,3,0,,0,1.30,2,10,-8,-1.70,-1.70,Matches
90,Bernard,br BRA,"FW,MF",ua Shakhtar,21,1992,5,157,31,21.8,1.7,1,,0,4,,1,1.60,5,2,+3,+1.72,+1.56,Matches
91,Juan Bernat,es ESP,"DF,FW",de Bayern Munich,21,1993,12,1021,85,94.5,11.3,11,,11,1,,0,2.08,29,13,+16,+1.41,-4.69,Matches
92,Roman Bezjak,si SVN,FW,bg Ludogorets,25,1989,4,290,73,53.7,3.2,4,,1,0,,0,1.33,1,5,-4,-1.24,-0.88,Matches
93,Jérôme Boateng,de GER,DF,de Bayern Munich,25,1988,11,990,90,91.7,11.0,11,,11,0,,1,2.00,32,13,+19,+1.73,+0.73,Matches
94,Kevin-Prince Boateng,gh GHA,"FW,MF",de Schalke 04,27,1987,6,393,66,54.6,4.4,5,,2,1,,0,0.83,4,10,-6,-1.37,-1.37,Matches
95,Marcelo Boeck,br BRA,GK,pt Sporting CP,29,1984,0,,,,,0,,0,0,,6,,,,,,,Matches
96,Lukas Boeder,de GER,"DF,MF",de Leverkusen,17,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
97,Sebastian Boenisch,pl POL,DF,de Leverkusen,27,1987,3,205,68,27.3,2.3,2,,2,1,,3,2.00,2,2,0,0.00,-1.32,Matches
98,Diederik Boer,nl NED,GK,nl Ajax,33,1980,0,,,,,0,,0,0,,6,,,,,,,Matches
99,Damjan Bohar,si SVN,MF,si NK Maribor,22,1991,6,316,53,58.5,3.5,3,,2,3,,0,1.25,2,9,-7,-1.99,-2.80,Matches
100,Nicolai Boilesen,dk DEN,DF,nl Ajax,22,1992,4,280,70,51.9,3.1,4,,3,0,,0,0.50,2,4,-2,-0.64,-0.64,Matches
101,Sinan Bolat,tr TUR,GK,tr Galatasaray,25,1988,1,90,90,16.7,1.0,1,,1,0,,5,0.00,1,4,-3,-3.00,-0.60,Matches
102,Leonardo Bonucci,it ITA,DF,it Juventus,27,1987,13,1170,90,100.0,13.0,13,,13,0,,0,1.85,17,10,+7,+0.54,,Matches
103,Wilfried Bony,ci CIV,FW,eng Manchester City,25,1988,2,40,20,5.6,0.4,0,,0,2,,0,0.00,1,0,+1,+2.25,+2.51,Matches
104,Fabio Borini,it ITA,"FW,MF",eng Liverpool,23,1991,2,113,57,20.9,1.3,1,,1,1,,2,1.50,2,2,0,0.00,+0.84,Matches
105,Milan Borjan,ca CAN,GK,bg Ludogorets,26,1987,1,90,90,16.7,1.0,1,,1,0,,5,0.00,1,2,-1,-1.00,-0.20,Matches
106,Alberto Botía,es ESP,DF,gr Olympiacos,25,1989,6,540,90,100.0,6.0,6,,6,0,,0,1.50,10,13,-3,-0.50,,Matches
107,Andreas Bouchalakis,gr GRE,MF,gr Olympiacos,21,1993,1,18,18,3.3,0.2,0,,0,1,,3,0.00,0,0,0,0.00,+0.52,Matches
108,Dedryck Boyata,be BEL,DF,eng Manchester City,23,1990,0,,,,,0,,0,0,,4,,,,,,,Matches
109,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,24,1990,9,682,76,75.8,7.6,9,,1,0,,0,2.36,16,9,+7,+0.92,-2.79,Matches
110,Julian Brandt,de GER,"FW,MF",de Leverkusen,18,1996,5,118,24,15.7,1.3,1,,0,4,,1,2.17,0,0,0,0.00,-1.14,Matches
111,Claudio Bravo,cl CHI,GK,es Barcelona,31,1983,0,,,,,0,,0,0,,13,,,,,,,Matches
112,Bruma,pt POR,"FW,MF",tr Galatasaray,19,1994,4,206,52,38.1,2.3,2,,0,2,,1,0.25,1,4,-3,-1.31,+1.92,Matches
113,Gianluigi Buffon,it ITA,GK,it Juventus,36,1978,13,1170,90,100.0,13.0,13,,13,0,,0,1.85,17,10,+7,+0.54,,Matches
114,Umut Bulut,tr TUR,"FW,MF",tr Galatasaray,31,1983,5,229,46,42.4,2.5,2,,1,3,,1,0.20,3,9,-6,-2.36,+0.25,Matches
115,Sergio Busquets,es ESP,MF,es Barcelona,26,1988,10,788,79,67.4,8.8,9,,8,1,,0,2.40,23,10,+13,+1.48,-0.16,Matches
116,Unai Bustinza,es ESP,DF,es Athletic Club,22,1992,0,,,,,0,,0,0,,2,,,,,,,Matches
117,Jakub Błaszczykowski,pl POL,MF,de Dortmund,28,1985,3,47,16,6.5,0.5,0,,0,3,,0,0.33,0,2,-2,-3.83,-4.90,Matches
118,Willy Caballero,ar ARG,GK,eng Manchester City,32,1981,0,,,,,0,,0,0,,8,,,,,,,Matches
119,Yohan Cabaye,fr FRA,MF,fr Paris S-G,28,1986,5,199,40,21.4,2.2,2,,1,3,,2,1.80,2,5,-3,-1.36,-1.60,Matches
120,Martín Cáceres,uy URU,DF,it Juventus,27,1987,2,168,84,14.4,1.9,2,,1,0,,1,1.50,2,1,+1,+0.54,0.00,Matches
121,Gary Cahill,eng ENG,DF,eng Chelsea,28,1985,6,570,95,76.0,6.3,6,,6,0,,2,2.00,13,5,+8,+1.26,-1.74,Matches
122,Júnior Caiçara,br BRA,DF,bg Ludogorets,25,1989,6,540,90,100.0,6.0,6,,6,0,,0,1.09,5,14,-9,-1.50,,Matches
123,Hakan Çalhanoğlu,tr TUR,"FW,MF",de Leverkusen,20,1994,8,739,92,98.5,8.2,8,,6,0,,0,1.90,8,5,+3,+0.37,-40.54,Matches
124,Davide Callà,ch SUI,MF,ch Basel,29,1984,5,192,38,26.7,2.1,1,,0,4,,2,1.40,0,1,-1,-0.47,+0.21,Matches
125,Zoumana Camara,fr FRA,DF,fr Paris S-G,35,1979,0,,,,,0,,0,0,,8,,,,,,,Matches
126,Tarık Çamdal,tr TUR,"DF,MF",tr Galatasaray,23,1991,5,327,65,60.6,3.6,4,,3,1,,1,0.20,2,13,-11,-3.03,-1.34,Matches
127,Joel Campbell,cr CRC,"FW,MF",eng Arsenal,22,1992,3,105,35,14.6,1.2,1,,1,2,,2,3.00,6,1,+5,+4.29,+3.85,Matches
128,Emre Can Coşkun,tr TUR,DF,tr Galatasaray,20,1994,0,,,,,0,,0,0,,1,,,,,,,Matches
129,Emre Can,de GER,"DF,MF",eng Liverpool,20,1994,2,98,49,18.1,1.1,1,,0,1,,2,0.00,0,1,-1,-0.92,-0.31,Matches
130,Cani,es ESP,MF,es Atlético Madrid,32,1981,1,46,46,4.9,0.5,1,,0,0,,1,3.00,1,0,+1,+1.96,+1.04,Matches
131,Diego Capel,es ESP,MF,pt Sporting CP,26,1988,4,72,18,13.3,0.8,1,,0,3,,2,0.75,2,4,-2,-2.50,-2.88,Matches
132,Carlão,br BRA,"DF,MF",cy APOEL FC,28,1986,6,540,90,100.0,6.0,6,,6,0,,0,0.90,1,12,-11,-1.83,,Matches
133,Yannick Carrasco,be BEL,"DF,FW",fr Monaco,20,1993,10,623,62,69.2,6.9,6,,2,4,,0,1.50,4,4,0,0.00,-0.65,Matches
134,André Carrillo,pe PER,"FW,MF",pt Sporting CP,23,1991,6,372,62,68.9,4.1,4,,1,2,,0,1.17,6,8,-2,-0.48,-1.56,Matches
135,Dani Carvajal,es ESP,DF,es Real Madrid,22,1992,5,437,87,40.5,4.9,5,,3,0,,3,1.60,5,3,+2,+0.41,-1.41,Matches
136,Matheus Carvalho,br BRA,FW,fr Monaco,22,1992,2,6,3,0.7,0.1,0,,0,2,,2,0.50,0,0,0,0.00,-0.20,Matches
137,Ricardo Carvalho,pt POR,DF,fr Monaco,36,1978,6,540,90,60.0,6.0,6,,6,0,,1,1.33,2,2,0,0.00,-0.50,Matches
138,William Carvalho,pt POR,MF,pt Sporting CP,22,1992,6,511,85,94.6,5.7,6,,5,0,,0,1.17,12,12,0,0.00,0.00,Matches
139,Casemiro,br BRA,MF,pt Porto,22,1992,8,701,88,77.9,7.8,8,,7,0,,0,2.50,21,9,+12,+1.54,-0.27,Matches
140,Iker Casillas,es ESP,GK,es Real Madrid,33,1981,10,900,90,83.3,10.0,10,,10,0,,2,2.00,19,9,+10,+1.00,-1.50,Matches
141,Gonzalo Castro,de GER,"DF,MF",de Leverkusen,27,1987,5,480,96,64.0,5.3,5,,5,0,,0,1.43,1,3,-2,-0.37,-3.71,Matches
142,Aleksandrs Cauņa,lv LVA,"FW,MF",ru CSKA Moscow,26,1988,2,64,32,11.9,0.7,1,,0,1,,2,1.00,0,1,-1,-1.41,-0.27,Matches
143,Edinson Cavani,uy URU,"FW,MF",fr Paris S-G,27,1987,10,920,92,98.9,10.2,10,,9,0,,0,1.50,14,15,-1,-0.10,-0.10,Matches
144,Santi Cazorla,es ESP,MF,eng Arsenal,29,1984,7,560,80,77.8,6.2,6,,5,1,,0,1.89,13,7,+6,+0.96,-0.16,Matches
145,Petr Čech,cz CZE,GK,eng Chelsea,32,1982,3,270,90,36.0,3.0,3,,3,0,,5,2.33,10,2,+8,+2.67,+1.54,Matches
146,Alessio Cerci,it ITA,"FW,MF",es Atlético Madrid,27,1987,2,37,19,4.0,0.4,0,,0,2,,4,1.50,3,1,+2,+4.86,+4.06,Matches
147,César,br BRA,DF,pt Benfica,21,1992,2,102,51,18.9,1.1,1,,1,1,,2,1.00,0,0,0,0.00,+0.82,Matches
148,Júlio César,br BRA,GK,pt Benfica,34,1979,3,270,90,50.0,3.0,3,,3,0,,0,1.00,2,4,-2,-0.67,0.00,Matches
149,Calum Chambers,eng ENG,"DF,MF",eng Arsenal,19,1995,5,450,90,62.5,5.0,5,,5,0,,3,2.43,15,6,+9,+1.80,+2.13,Matches
150,Clément Chantôme,fr FRA,MF,fr Paris S-G,26,1987,3,20,7,2.2,0.2,0,,1,3,,0,2.25,3,3,0,0.00,+0.10,Matches
151,Constantinos Charalambides,cy CYP,MF,cy APOEL FC,33,1981,1,11,11,2.0,0.1,0,,0,1,,1,1.25,0,0,0,0.00,+0.85,Matches
152,Aurélien Chedjou,cm CMR,DF,tr Galatasaray,29,1985,5,450,90,83.3,5.0,5,,5,0,,0,0.20,3,15,-12,-2.40,+0.60,Matches
153,Sergei Chepchugov,ru RUS,GK,ru CSKA Moscow,29,1985,0,,,,,0,,0,0,,6,,,,,,,Matches
